lemma,pos,frequency,function_words,semantic_category1,semantic_category2,semantic_category3,semantic_category
estrictament,RG,485,0,manera,manera,manera,manera
necessàriament,RG,484,0,modal,modal,modal,modal
constantment,RG,479,0,aspecte,aspecte,aspecte,aspecte
ençà,RG,477,1,temps,lloc,temps,lloc
específicament,RG,476,0,focal,focal,focal,focal
originàriament,RG,466,0,temps,temps,temps,temps
lentament,RG,457,0,manera,manera,manera,manera
correctament,RG,451,0,manera,manera,manera,manera
simultàniament,RG,449,0,temps,temps,temps,temps
breument,RG,445,0,aspecte,aspecte,aspecte,aspecte
inclús,RG,439,1,focal,focal,focal,focal
ocasionalment,RG,426,0,aspecte,aspecte,aspecte,aspecte
regularment,RG,421,0,aspecte,aspecte,aspecte,aspecte
estretament,RG,419,0,manera,manera,manera,manera
políticament,RG,414,0,manera,manera,manera,manera
internacionalment,RG,412,0,manera,manera,manera,manera
públicament,RG,409,0,manera,manera,manera,manera
dalt,RG,397,1,lloc,lloc,lloc,lloc
gradualment,RG,396,0,aspecte,aspecte,aspecte,aspecte
contínuament,RG,389,0,aspecte,aspecte,aspecte,aspecte
lliurement,RG,377,0,manera,manera,manera,manera
usualment,RG,376,0,aspecte,aspecte,aspecte,aspecte
econòmicament,RG,373,0,manera,manera,manera,manera
greument,RG,361,0,manera,manera,grau,manera
comunament,RG,360,0,aspecte,aspecte,aspecte,aspecte
malament,RG,354,0,manera,manera,manera,manera
millor,RG,353,1,manera,grau,manera,manera
darrere,RG,351,1,lloc,lloc,lloc,lloc
administrativament,RG,345,0,manera,manera,manera,manera
hui,RG,344,1,temps,temps,temps,temps
íntegrament,RG,343,0,grau,grau,grau,grau
automàticament,RG,328,0,manera,manera,manera,manera
tal,RG,302,1,focal,focal,focal,focal
rere,RG,301,1,lloc,lloc,lloc,lloc
enlloc,RG,291,1,lloc,lloc,lloc,lloc
significativament,RG,290,0,grau,grau,grau,grau
nominalment,RG,289,0,manera,manera,manera,manera
purament,RG,288,0,avaluatiu,manera,grau,grau
modernament,RG,288,0,temps,manera,manera,temps
durament,RG,287,0,manera,manera,manera,manera
